Date,SP.rk
20020425,8.91E-05
20020426,8.53E-05
20020429,7.96E-05
20020430,8.68E-05
20020501,0.000121832
20020502,8.33E-05
20020503,9.57E-05
20020506,7.82E-05
20020507,0.000102606
20020508,0.000245438
20020509,0.00011234
20020510,8.53E-05
20020513,7.58E-05
20020514,0.000144305
20020515,0.000130204
20020516,5.41E-05
20020517,6.07E-05
20020520,7.06E-05
20020521,7.46E-05
20020522,9.13E-05
20020523,7.04E-05
20020524,5.54E-05
20020527,
20020528,6.84E-05
20020529,4.52E-05
20020530,0.000118516
20020531,8.30E-05
20020603,0.000129529
20020604,0.000202861
20020605,9.61E-05
20020606,0.00012627
20020607,0.000240978
20020610,0.000111342
20020611,0.000119212
20020612,0.000231243
20020613,0.000128283
20020614,0.000375054
20020617,0.000131327
20020618,9.55E-05
20020619,0.000134686
20020620,0.000129434
20020621,0.000168728
20020624,0.00032667
20020625,0.000249627
20020626,0.000724485
20020627,0.000308121
20020628,0.000128888
20020701,0.000164898
20020702,0.000283209
20020703,0.000232205
20020704,
20020705,0.000140534
20020708,0.000199049
20020709,0.000179058
20020710,0.000354669
20020711,0.000630331
20020712,0.000437767
20020715,0.000582734
20020716,0.000590227
20020717,0.000791325
20020718,0.000265148
20020719,0.000494008
20020722,0.001214168
20020723,0.000975093
20020724,0.001423463
20020725,0.001276082
20020726,0.000407137
20020729,0.000440002
20020730,0.000470783
20020731,0.000334551
20020801,0.000366916
20020802,0.000342409
20020805,0.00025504
20020806,0.000523883
20020807,0.000609263
20020808,0.000291661
20020809,0.000334834
20020812,0.000329715
20020813,0.000321548
20020814,0.000356227
20020815,0.000392849
20020816,6.44E-05
20020819,0.000119304
20020820,0.000207906
20020821,0.000317684
20020822,0.000169085
20020823,0.000167656
20020826,0.000158365
20020827,0.000246352
20020828,0.000182427
20020829,0.000345276
20020830,0.000203192
20020902,
20020903,0.000373436
20020904,0.000178571
20020905,0.000423984
20020906,0.000300633
20020909,0.000188931
20020910,7.03E-05
20020911,0.00016799
20020912,0.000153014
20020913,0.000224273
20020916,0.000121954
20020917,0.000253988
20020918,0.000260901
20020919,0.000343549
20020920,0.000189883
20020923,0.000307362
20020924,0.000469039
20020925,0.000414813
20020926,0.000259506
20020927,0.000250963
20020930,0.000599516
20021001,0.000382074
20021002,0.000271085
20021003,0.000440237
20021004,0.000700953
20021007,0.000396607
20021008,0.000690114
20021009,0.000645246
20021010,0.00056256
20021011,0.000458467
20021014,0.00026485
20021015,0.000490516
20021016,0.000213001
20021017,0.000569476
20021018,0.000252108
20021021,0.000221425
20021022,7.39E-05
20021023,0.000291864
20021024,0.000242319
20021025,0.000226726
20021028,0.000249881
20021029,0.000313833
20021030,0.000186191
20021031,
20021101,0.000246503
20021104,0.000201003
20021105,0.000101421
20021106,0.00034729
20021107,0.000203012
20021108,0.000181414
20021111,0.000132099
20021112,0.000163673
20021113,0.00035249
20021114,0.000244021
20021115,0.000204497
20021118,0.000131816
20021119,0.000120262
20021120,
20021121,0.000135684
20021122,9.05E-05
20021125,9.74E-05
20021126,0.000120669
20021127,0.000129895
20021128,
20021129,4.50E-05
20021202,0.000355819
20021203,0.000147518
20021204,0.000248238
20021205,0.00011171
20021206,0.00025295
20021209,0.000145766
20021210,0.000102315
20021211,0.000127094
20021212,0.000128911
20021213,0.000164486
20021216,7.60E-05
20021217,7.25E-05
20021218,0.000107169
20021219,0.000146317
20021220,0.000107852
20021223,7.30E-05
20021224,2.31E-05
20021225,
20021226,9.02E-05
20021227,7.06E-05
20021230,9.28E-05
20021231,0.000112365
20030101,
20030102,0.000198042
20030103,8.45E-05
20030106,5.67E-05
20030107,0.000114899
20030108,0.000112653
20030109,9.60E-05
20030110,0.000168402
20030113,0.000113826
20030114,6.39E-05
20030115,7.74E-05
20030116,0.000101859
20030117,
20030120,
20030121,
20030122,0.000101233
20030123,0.000134481
20030124,0.000169081
20030127,0.000257015
20030128,0.000156261
20030129,0.000235653
20030130,0.00015071
20030131,0.000220797
20030203,0.000123589
20030204,0.000203527
20030205,0.000219773
20030206,0.000182161
20030207,0.000164796
20030210,0.000154183
20030211,0.000107271
20030212,0.000111472
20030213,0.000160214
20030214,0.000208422
20030217,
20030218,0.000142623
20030219,6.68E-05
20030220,8.15E-05
20030221,0.00015005
20030224,9.51E-05
20030225,0.000228516
20030226,0.000117561
20030227,0.000173193
20030228,0.000107364
20030303,0.000130551
20030304,6.05E-05
20030305,0.000119916
20030306,0.00015599
20030307,0.000323244
20030310,0.00011012
20030311,0.000131745
20030312,0.00016367
20030313,0.000232438
20030314,0.000243641
20030317,0.000335708
20030318,0.000179286
20030319,0.000124734
20030320,0.000186592
20030321,0.000201509
20030324,0.000368814
20030325,0.000155715
20030326,0.000118757
20030327,0.000143719
20030328,0.000117924
20030331,0.000226001
20030401,0.00013511
20030402,0.00026556
20030403,8.42E-05
20030404,0.000117904
20030407,0.000365937
20030408,0.00010453
20030409,0.000179037
20030410,6.92E-05
20030411,0.000178902
20030414,8.33E-05
20030415,7.04E-05
20030416,0.000122325
20030417,5.31E-05
20030418,
20030421,8.86E-05
20030422,0.000110899
20030423,6.66E-05
20030424,7.34E-05
20030425,6.67E-05
20030428,7.35E-05
20030429,0.000114999
20030430,0.00011607
20030501,0.0001004
20030502,0.000111084
20030505,7.99E-05
